name,website,description,source_event,source_type,source_association
Home,,,ISA Sign Expo 2025,event,
Featured Exhibitors,,,ISA Sign Expo 2025,event,
Your Details,,,European Sign Expo 2025,event,
703-385-1335,,,PRINTING United Expo,event,
register@printingunited.com,mailto:http://register@printingunited.com,,PRINTING United Expo,event,
Need help logging in?,,,PRINTING United Expo,event,
Need help registering for an event?,,,PRINTING United Expo,event,
"Welcome to MemberConnect, the portal for content and offerings
reserved exclusively for FTA members.",,,,association,Flexographic Technical Association (FTA)
FTA Members,,,,association,Flexographic Technical Association (FTA)
FTA Member Benefits,,,,association,Flexographic Technical Association (FTA)
Non-Members,,,,association,Flexographic Technical Association (FTA)
,,,,association,Flexographic Technical Association (FTA)
Professional Chapter Membership,https://www.aaf.org/Public/Events/All_Events.aspx,,,association,American Advertising Federation (AAF)
"Member Benefits
Membership Structure
Ad 2 National Executive Committee
Corporate Member Committee
Council of Governors
National Education Executive Council",https://www.aaf.org/Public/Membership/Member-Benefits.aspx,,,association,American Advertising Federation (AAF)
