name,date,location,url,description,source,relevance_score
PRINTING United Expo,"October 18, 2026","Atlanta, GA",https://www.printingunited.com/,"Printing, graphics and signage industry expo",PRINTING United,0.5222222222222223
European Sign Expo 2025,"May 15, 2026","Munich, Germany",https://www.fespa.com/en/events,"Global print expo for screen, digital and textile printing",FESPA Global Print Expo,0.4111111111111111
ISA Sign Expo,"April 1, 2026","Las Vegas, NV",https://www.signexpo.org/,International Sign Association Expo,ISA Sign Expo,0.25555555555555554
European Sign Expo 2025,"June 1, 2026",United States,https://www.fespa.com/en/events,FESPA industry event,FESPA,0.25555555555555554
Printing Industries of America,"Apr.
03",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"Apr.
03",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"Apr.
16",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"Apr.
16",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"Apr.
21",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"Apr.
21",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
New Member Orientation,"Apr. 03, 2025 • 2:00 PM - 3:00 PM EST",Online,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"Apr. 03, 2025 • 2:00 PM - 3:00 PM EST",Online,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Decoding Sustainability Regulations: What Printers Need to Know,"Apr. 16, 2025 • 2:00 PM - 3:00 PM EST",Online,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"Apr. 16, 2025 • 2:00 PM - 3:00 PM EST",Online,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
G7+ Expert Certification April 21-25 Live Online,"Apr. 21, 2025 - Apr. 25, 2025 • 1:00 PM - 5:00 PM EST",Online,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"Apr. 21, 2025 - Apr. 25, 2025 • 1:00 PM - 5:00 PM EST",Online,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"Aug.
27",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"Aug.
27",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"Aug.
29",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"Aug.
29",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
"PDAA Windows, Walls, and Floors Chicago IL Aug 2025","Aug. 27, 2025 - Aug. 28, 2025 • 8:00 AM - 5:00 PM CST",In-Person,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"Aug. 27, 2025 - Aug. 28, 2025 • 8:00 AM - 5:00 PM CST",In-Person,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
